appid,category
24200,Full controller support
24240,Single-player
24240,Co-op
24240,Steam Achievements
24240,Steam Trading Cards
24240,Steam Cloud
24240,Stats
24400,Single-player
24400,Multi-player
24410,Single-player
24410,Multi-player
24420,Single-player
24420,Steam Achievements
24420,Partial Controller Support
24460,Single-player
24480,Single-player
24480,Steam Achievements
24640,Single-player
24650,Single-player
24670,Single-player
24670,Multi-player
24670,Steam Achievements
24670,Stats
24670,Steam Leaderboards
24720,Single-player
24740,Single-player
24740,Multi-player
24780,Single-player
24790,Single-player
24800,Single-player
24810,Single-player
24810,Multi-player
24840,Single-player
24840,Multi-player
24870,Single-player
24870,Multi-player
24960,Single-player
24960,Multi-player
24980,Single-player
25000,Single-player
25000,Partial Controller Support
25000,Includes level editor
25010,Single-player
25500,Single-player
25500,Multi-player
25600,Single-player
25620,Single-player
25700,Single-player
25700,Multi-player
25700,Co-op
25700,Cross-Platform Multiplayer
25700,Steam Achievements
25700,Partial Controller Support
25700,Steam Cloud
25700,Steam Leaderboards
25800,Single-player
25800,Multi-player
25800,Steam Trading Cards
25830,Single-player
25830,Multi-player
25850,Single-player
25850,Multi-player
25850,Steam Cloud
25850,Includes level editor
25890,Single-player
25890,Multi-player
25890,Co-op
25890,Steam Trading Cards
25900,Single-player
25900,Steam Cloud
25910,Single-player
25910,Multi-player
25930,Single-player
25930,Multi-player
25980,Single-player
25990,Single-player
25990,Multi-player
26000,Single-player
26000,Steam Achievements
26300,Single-player
26300,Multi-player
26800,Single-player
26800,Steam Achievements
26800,Full controller support
26800,Steam Cloud
26900,Single-player
27000,Single-player
27000,Steam Trading Cards
27020,Single-player
27050,Single-player
27200,Single-player
27200,Multi-player
27200,Co-op
27330,Single-player
27330,Multi-player
27330,Co-op
27330,Partial Controller Support
27400,Single-player
27600,Single-player
27600,Steam Achievements
27800,Single-player
27810,Single-player
27810,Partial Controller Support
27900,Single-player
27920,Single-player
27920,Multi-player
27920,Steam Achievements
27920,Partial Controller Support
27920,Stats
27920,Steam Leaderboards
27940,Single-player
27940,Co-op
27940,Shared/Split Screen
27940,Steam Achievements
27940,Partial Controller Support
27940,Steam Cloud
27940,Steam Leaderboards
28000,Single-player
28000,Multi-player
28000,Co-op
28000,Steam Achievements
28000,Steam Leaderboards
29120,Single-player
29130,Single-player
29160,Single-player
29180,Single-player
29180,Steam Achievements
29800,Single-player
29800,Steam Trading Cards
29800,Partial Controller Support
29900,Single-player
29900,Multi-player
29900,Partial Controller Support
31270,Single-player
31300,Single-player
31800,Single-player
31810,Single-player
31820,Single-player
31830,Single-player
31840,Single-player
31850,Single-player
31860,Single-player
31870,Single-player
31880,Single-player
31890,Single-player
31900,Single-player
31910,Single-player
31920,Single-player
31930,Single-player
31980,Single-player
31980,Steam Achievements
32000,Single-player
