,appid,steamspy_tags
996,15080,Psychological Horror
997,15100,Action
998,15100,Adventure
999,15100,Open World
1000,15120,Action
1001,15120,Tactical
1002,15120,FPS
1003,15130,Adventure
1004,15130,Female Protagonist
1005,15130,Action
1006,15160,Simulation
1007,15160,Horses
1008,15160,Family Friendly
1009,15170,Strategy
1010,15170,Turn-Based Strategy
1011,15170,Fantasy
1012,15190,Action
1013,15190,FPS
1014,15190,World War II
1015,15200,Simulation
1016,15200,Submarine
1017,15200,World War II
1018,15210,Simulation
1019,15210,Naval
1020,15210,World War II
1021,15240,Simulation
1022,15240,Submarine
1023,15240,World War II
1024,15270,Horror
1025,15270,Action
1026,15270,Survival Horror
1027,15300,Tactical
1028,15300,FPS
1029,15300,Action
1030,15320,Simulation
1031,15320,Flight
1032,15320,World War II
1033,15370,Strategy
1034,15370,Turn-Based Strategy
1035,15370,Turn-Based
1036,15380,Strategy
1037,15380,Turn-Based Strategy
1038,15380,Turn-Based
1039,15390,Action
1040,15390,World War II
1041,15390,FPS
1042,15400,Strategy
1043,15400,Indie
1044,15400,Tower Defense
1045,15500,Indie
1046,15500,Casual
1047,15500,Action
1048,15520,Action
1049,15520,Indie
1050,15520,First-Person
1051,15560,Indie
1052,15560,Action
1053,15560,First-Person
1054,15620,Strategy
1055,15620,Warhammer 40K
1056,15620,RTS
1057,15700,Adventure
1058,15700,Platformer
1059,15700,Classic
1060,15710,Adventure
1061,15710,Platformer
1062,15710,2D
1063,15740,Adventure
1064,15740,Action
1065,15740,Strategy
1066,15750,Adventure
1067,15750,Action
1068,15750,Singleplayer
1069,15800,Indie
1070,15800,Casual
1071,15900,Casual
1072,15900,Puzzle
1073,15900,Match 3
1074,15910,Casual
1075,15920,Casual
1076,15930,Casual
1077,15930,Match 3
1078,15930,Puzzle
1079,15960,Casual
1080,15960,Agriculture
1081,15960,Puzzle
1082,15970,Casual
1083,15970,Match 3
1084,16000,Casual
1085,16000,Hidden Object
1086,16020,Casual
1087,16020,Hidden Object
1088,16020,Adventure
1089,16030,Casual
1090,16030,Match 3
1091,16030,Puzzle
1092,16040,Casual
1093,16040,Puzzle
1094,16040,Match 3
1095,16060,Casual
1096,16060,Hidden Object
1097,16060,Adventure
1098,16100,Casual
1099,16100,Simulation
1100,16110,Casual
1101,16110,Simulation
1102,16120,Casual
1103,16120,Simulation
1104,16120,Management
1105,16130,Casual
1106,16130,Simulation
1107,16130,Management
1108,16180,Casual
1109,16180,Simulation
1110,16200,Simulation
1111,16200,Casual
1112,16450,Horror
1113,16450,FPS
1114,16450,Action
1115,16500,Indie
1116,16500,Casual
1117,16500,Puzzle
1118,16600,Racing
1119,16600,Indie
1120,16600,Sports
1121,16620,Racing
1122,16620,Indie
1123,16620,Sports
1124,16710,Adventure
1125,16710,Action
1126,16710,Female Protagonist
1127,16720,Stealth
1128,16720,Action
1129,16720,Female Protagonist
1130,16730,Action
1131,16730,FPS
1132,16730,Shooter
1133,16810,Strategy
1134,16810,Turn-Based
1135,16810,Turn-Based Strategy
1136,16900,Early Access
1137,16900,Indie
1138,16900,Tactical
1139,17080,Free to Play
1140,17080,FPS
1141,17080,Action
1142,17100,City Builder
1143,17100,Historical
1144,17100,Management
1145,17120,City Builder
1146,17120,Simulation
1147,17120,Management
1148,17140,Strategy
1149,17140,RPG
1150,17140,Fantasy
1151,17180,Strategy
1152,17180,Historical
1153,17300,FPS
1154,17300,Action
1155,17300,Sci-fi
1156,17330,Action
1157,17330,FPS
1158,17330,Sci-fi
1159,17390,Simulation
1160,17390,Sandbox
1161,17390,Open World
1162,17410,Parkour
1163,17410,First-Person
1164,17410,Action
1165,17430,Racing
1166,17430,Open World
1167,17430,Multiplayer
1168,17440,Simulation
1169,17440,Adventure
1170,17440,Open World
1171,17450,RPG
1172,17450,Fantasy
1173,17450,Story Rich
1174,17460,RPG
1175,17460,Sci-fi
1176,17460,Story Rich
1177,17470,Horror
1178,17470,Action
1179,17470,Sci-fi
1180,17480,Strategy
1181,17480,RTS
1182,17480,Base-Building
1183,17500,Free to Play
1184,17500,Zombies
1185,17500,Multiplayer
1186,17570,Free to Play
1187,17570,Multiplayer
1188,17570,Action
1189,17710,Strategy
1190,17710,FPS
1191,17710,Action
1192,17740,Free to Play
1193,17740,Strategy
1194,17740,Action
1195,18000,RPG
1196,18000,Adventure
1197,18000,Comedy
1198,18020,RPG
1199,18020,Adventure
1200,18020,Comedy
1201,18040,RPG
1202,18040,Action
1203,18040,Indie
1204,18050,Action
1205,18050,RPG
1206,18050,Indie
1207,18070,RPG
1208,18070,Action
1209,18070,Adventure
1210,18120,Tower Defense
1211,18120,Strategy
1212,18120,Indie
1213,18300,Casual
1214,18300,Indie
1215,18300,Puzzle
1216,18400,Casual
1217,18400,Strategy
1218,18400,Puzzle
1219,18420,Casual
1220,18420,Strategy
1221,18420,Puzzle
1222,18470,Strategy
1223,18470,Western
1224,18480,Adventure
1225,18480,Point & Click
1226,18480,Female Protagonist
1227,18500,Tower Defense
1228,18500,Strategy
1229,18500,Sci-fi
1230,18600,Indie
1231,18600,Strategy
1232,18700,Platformer
1233,18700,Indie
1234,18700,Puzzle
1235,18820,Racing
1236,18820,Indie
1237,18820,Action
1238,19000,Horror
1239,19000,Adventure
1240,19000,Survival Horror
1241,19020,RPG
1242,19020,Casual
1243,19020,Puzzle
1244,19030,Action
1245,19030,Adventure
1246,19030,Platformer
1247,19080,Action
1248,19080,Adventure
1249,19080,Casual
1250,19200,Action
1251,19200,Indie
1252,19200,Tanks
1253,19320,Action
1254,19320,Casual
1255,19320,Indie
1256,19500,Indie
1257,19500,Adventure
1258,19500,Platformer
1259,19800,Action
1260,19800,FPS
1261,19800,World War II
1262,19830,Tactical
1263,19830,FPS
1264,19830,Action
1265,19900,Open World
1266,19900,FPS
1267,19900,Action
1268,19980,Action
1269,19980,Adventure
1270,19980,Platformer
1271,20200,Indie
1272,20200,Casual
1273,20200,Sports
1274,20510,Open World
1275,20510,Atmospheric
1276,20510,Post-apocalyptic
1277,20530,Action
1278,20530,FPS
1279,20530,Sci-fi
1280,20540,Strategy
1281,20540,RTS
1282,20540,World War II
1283,20550,Action
1284,20550,FPS
1285,20550,Strategy
1286,20570,Strategy
1287,20570,Warhammer 40K
1288,20570,RTS
1289,20700,Action
1290,20700,Indie
1291,20700,Strategy
1292,20710,Indie
1293,20710,Strategy
1294,20710,Action
1295,20820,Great Soundtrack
1296,20820,Indie
1297,20820,Arcade
1298,20900,RPG
1299,20900,Fantasy
1300,20900,Story Rich
1301,20920,RPG
1302,20920,Fantasy
1303,20920,Mature
1304,21000,LEGO
1305,21000,Action
1306,21000,Adventure
1307,21010,Action
1308,21010,Superhero
1309,21010,Beat 'em up
1310,21030,Action
1311,21030,Superhero
1312,21030,Beat 'em up
1313,21090,Horror
1314,21090,FPS
1315,21090,Action
1316,21100,FPS
1317,21100,Horror
1318,21100,Co-op
1319,21130,LEGO
1320,21130,Adventure
1321,21130,Action
1322,21300,Arcade
1323,21400,Strategy
1324,21400,Indie
1325,21400,Action
1326,21500,Racing
