appid,genres
202710,Nudity;Violent;Action;RPG;Strategy
202730,Action;Adventure;Indie
202750,Action;Adventure
202860,Strategy
202970,Action
203140,Action
203160,Action;Adventure
203210,Action;Casual;Indie
203290,Action;Free to Play
203350,RPG;Strategy
203510,Action;Indie;RPG
203560,Casual;Indie
203630,Strategy
203650,Adventure
203680,Racing
203750,Action
203770,RPG;Simulation;Strategy
203830,Adventure;Indie
203990,Action;Indie
204030,Action;Adventure;RPG
204060,Adventure;Indie
204100,Action
204120,Adventure
204180,Adventure;Indie;Strategy
204220,Adventure;Casual;Indie
204240,Casual;Indie;Strategy
204300,Action;Free to Play;Indie;Strategy
204340,Action;Indie
204360,Action;Adventure;Casual;Indie;RPG
204390,Action;Indie
204440,Adventure;Casual
204530,Action;Indie;Strategy
204560,Action;RPG;Strategy
204580,Action;Casual
204630,Action;Adventure;Indie;Racing
204760,Action
204860,Action;Strategy
204880,Indie;Strategy
204940,Strategy
204960,Casual;Indie
205020,Adventure;Casual;Indie
205060,Action;Indie
205070,Action;Indie
205080,Action;Indie
205090,Action;Casual;Indie
205100,Action;Adventure
205190,Casual;Simulation
205230,Action
205270,Utilities
205530,Indie;Simulation;Strategy
205550,Action;Indie;Casual
205610,Action;Simulation;Strategy
205650,Adventure
205690,Adventure;Indie
205710,Free to Play;Massively Multiplayer;RPG
205730,Action;Adventure;Indie
205810,RPG;Simulation;Strategy
205830,Action;Indie;Casual
205840,Adventure
205870,Indie;Casual
205910,Indie
205950,Action
205990,Strategy
206020,RPG;Indie
206040,RPG;Indie
206060,RPG;Indie
206190,Action;Indie;Strategy
206210,Action;Free to Play
206230,Action
206250,Action;Indie;RPG
206370,Action;Indie
206410,Casual;Strategy
206420,Action;Adventure
206440,Adventure;Indie;RPG
206480,Action;Adventure;Free to Play;Massively Multiplayer;RPG
206500,Action;Free to Play;Indie;Strategy
206610,Casual;Indie
206690,Casual;Indie;Strategy
207000,Action;Adventure;Indie
207020,Racing
207080,Indie
207140,Action;Casual;Indie;Racing;Sports
207170,Adventure;Indie;RPG
207190,Action;Adventure;Racing
207230,Action;Free to Play;Indie
207250,Indie;Strategy
207320,Action;Adventure;RPG
207350,Action;Adventure;RPG
207370,Action;Indie
207380,Action
207400,Action
207420,Action;Adventure;Indie
207430,Casual;Indie;RPG
207490,Action;Adventure
207530,Action;Indie
207570,Indie;Casual
207650,Action;Indie;Strategy
207670,Indie;Casual
207690,Adventure;Casual;Indie
207710,Casual;Indie;Strategy
207730,Action;Strategy
207750,Action;Casual;Indie
207790,Simulation
207930,Action
208110,Adventure;Casual
208140,Strategy
208200,Action
208400,Strategy;RPG;Indie
208460,Action;Indie;Strategy
208500,Racing;Simulation;Sports
208520,Simulation;Strategy
208580,RPG
208600,Indie;Simulation
208620,Adventure;Casual
208630,Adventure;Casual
208640,Adventure;Casual
208650,Action;Adventure
208670,Action;Adventure
208710,Action;Indie
208730,Action;RPG
208750,Action;Adventure;Indie;RPG
209000,Action;Adventure
209060,Action;Indie
209080,Action;Adventure;Indie;Simulation
209100,Action
209120,Action
209160,Action
209190,Action;Indie
209230,Adventure;Casual
209330,Action;Adventure;Indie
209360,Action;Indie
209370,Indie
209390,Sports;Strategy
209520,Casual;Indie;Racing
209540,Action;Indie;Simulation
209610,Casual;Indie;Simulation
209630,Action;Adventure
209650,Action
209670,Action;Indie;Strategy
209690,Strategy;Indie;Casual
209730,Action;RPG
209750,Action
209790,Indie;Casual
209830,Action;Adventure;Indie;RPG;Simulation
209850,Casual;Indie;Strategy
209950,Casual;Indie;Strategy
210170,Action;Indie;Strategy
210230,Adventure
210770,Action;Indie;Strategy
210870,Indie
210950,Action;Adventure
210970,Adventure;Indie
211010,Action;Indie;RPG
211160,Action;Adventure
211180,Adventure;Casual;Indie
211260,Action;Indie
211280,Action;Indie
211340,Adventure;Indie;RPG
211360,Adventure;Indie
211400,Action;Adventure;Indie
211440,Indie
