,appid,positive_ratings,negative_ratings,average_playtime,median_playtime,owners
6002,379610,43,5,0,0,10000
6003,379640,210,16,1,1,75000
6004,379720,68536,5156,751,560,3500000
6005,379760,46,5,0,0,10000
6006,379870,43,48,0,0,75000
6007,379960,134,76,273,273,35000
6008,379980,1157,107,256,318,35000
6009,379990,12,31,276,276,10000
6010,380000,16,11,0,0,10000
6011,380020,606,267,199,210,150000
6012,380100,14,1,0,0,10000
6013,380120,6,1,0,0,10000
6014,380140,218,50,95242,190445,150000
6015,380150,920,209,0,0,75000
6016,380210,12,11,0,0,10000
6017,380220,514,266,0,0,35000
6018,380360,632,219,5889,6061,350000
6019,380540,25,18,0,0,10000
6020,380550,54,29,243,266,35000
6021,380560,14,6,0,0,35000
6022,380580,249,156,169,173,75000
6023,380600,10585,3330,196,61,3500000
6024,380660,66,10,0,0,10000
6025,380670,319,17,0,0,35000
6026,380690,13,11,432,432,10000
6027,380700,26,18,0,0,10000
6028,380750,338,151,0,0,35000
6029,380790,5,8,373,373,35000
6030,380810,89,1,0,0,10000
6031,380840,3104,415,112,35,750000
6032,380860,21,5,0,0,10000
6033,380920,46,6,0,0,10000
6034,380950,15,4,0,0,10000
6035,380990,22,18,0,0,10000
6036,381000,0,1,0,0,10000
6037,381010,44,24,0,0,35000
6038,381020,614,51,799,799,35000
6039,381050,47,19,0,0,10000
6040,381100,231,43,0,0,10000
6041,381120,1512,943,322,541,350000
6042,381130,11,29,0,0,10000
6043,381140,204,95,59,59,350000
6044,381170,35,29,167,167,35000
6045,381180,260,217,0,0,10000
6046,381210,140721,44985,5904,585,7500000
6047,381220,35,28,0,0,10000
6048,381250,8,0,0,0,10000
6049,381260,109,50,0,0,10000
6050,381310,14,3,0,0,10000
6051,381320,62,17,0,0,10000
6052,381340,20,1,0,0,10000
6053,381550,2,0,0,0,10000
6054,381560,359,349,141,141,150000
6055,381590,42,37,0,0,10000
6056,381610,31,8,0,0,10000
6057,381640,423,288,9,9,150000
6058,381750,121,74,0,0,10000
6059,381780,1092,108,113,113,150000
6060,381800,19,19,0,0,10000
6061,381850,21,10,0,0,10000
6062,381870,101,14,237,254,35000
6063,381880,72,11,0,0,10000
6064,381890,57,2,0,0,10000
6065,381900,81,19,0,0,10000
6066,381910,20,5,0,0,10000
6067,381940,949,227,169,169,350000
6068,382000,334,14,0,0,75000
6069,382050,550,72,352,352,150000
6070,382070,65,17,0,0,10000
6071,382080,135,133,262,253,75000
6072,382090,170,40,0,0,35000
6073,382110,723,316,16,16,150000
6074,382120,425,213,245,258,350000
6075,382130,30,13,0,0,10000
6076,382140,999,371,139,209,150000
6077,382160,24,68,2,2,10000
6078,382180,40,19,0,0,10000
6079,382250,22,18,0,0,10000
6080,382260,287,24,0,0,10000
6081,382270,14,1,0,0,10000
6082,382300,291,223,235,361,150000
6083,382310,1875,639,2197,2582,150000
6084,382320,7,4,0,0,10000
6085,382330,61,57,0,0,10000
6086,382350,122,71,0,0,35000
6087,382360,142,77,0,0,10000
6088,382380,101,23,0,0,10000
6089,382420,120,126,0,0,35000
6090,382480,82,40,0,0,10000
6091,382490,5715,352,147,141,750000
6092,382570,79,76,0,0,75000
6093,382880,16,25,0,0,10000
6094,382890,489,198,0,0,150000
6095,382900,884,259,0,0,150000
6096,382920,56,14,0,0,10000
6097,383010,13,2,0,0,10000
6098,383020,7,6,0,0,10000
6099,383080,11952,2209,1055,107,1500000
6100,383100,42,2,0,0,10000
6101,383120,11061,2777,495,739,750000
6102,383150,3513,1415,1725,533,350000
6103,383180,788,401,184,184,350000
6104,383190,14,0,0,0,10000
6105,383230,1421,491,184,184,150000
6106,383240,11,14,0,0,10000
6107,383270,737,48,20,20,150000
6108,383330,159,97,212,212,350000
6109,383460,286,37,744,744,75000
6110,383520,39,27,342,342,75000
6111,383530,4,7,0,0,10000
6112,383540,20,6,0,0,10000
6113,383560,79,75,379,379,75000
6114,383580,927,364,205,214,750000
6115,383590,15,10,0,0,10000
6116,383620,6,19,0,0,10000
6117,383630,35,12,0,0,10000
6118,383670,26,9,0,0,10000
6119,383690,128,25,11,11,10000
6120,383700,39,14,0,0,10000
6121,383710,21,32,273,273,10000
6122,383720,47,25,0,0,10000
6123,383750,55,20,0,0,10000
6124,383780,8,8,0,0,10000
6125,383790,341,232,0,0,150000
6126,383800,36,34,0,0,10000
6127,383810,6,11,0,0,10000
6128,383840,328,60,0,0,35000
6129,383870,32886,5524,206,257,750000
