appid,publisher
64000,1C Entertainment
64000,1C-SoftClub
65070,Libredia
65080,Libredia Entertainment
65270,Giants Software
65400,React Games
65500,THQ Nordic
65530,THQ Nordic
65540,THQ Nordic
65560,THQ Nordic
65600,THQ Nordic
65610,THQ Nordic
65710,Bohemia Interactive
65730,Bohemia Interactive
65740,Bohemia Interactive
65780,Bohemia Interactive
65790,Bohemia Interactive
65800,Trendy Entertainment
65930,2K
65980,2K
65980,Aspyr (Mac)
65980,Aspyr (Linux)
67000,Dmytry Lavrov
67370,2K
70000,800 North and Digital Ranch
70100,exosyphen studios
70110,exosyphen studios
70120,exosyphen studios
70200,Youdagames
70210,Youdagames
70300,Terry Cavanagh
70400,Carpe Fulgur LLC
70420,Carpe Fulgur LLC
70500,Grendel Games
70600,Team17 Digital Ltd
70620,Team17 Digital Ltd
70640,Team17 Digital Ltd
70650,Team17 Digital Ltd
70660,Team17 Digital Ltd
70900,Blind Mind Studios
71000,StarWraith 3D Games LLC
71230,SEGA
71240,SEGA
71260,SEGA
71340,SEGA
72000,Eyebrow Interactive
72400,Tomkorp Computer Solutions Inc.
72850,Bethesda Softworks
72900,Clara Lehenaff
73010,Paradox Interactive
73060,Paradox Interactive
73170,Paradox Interactive
73190,Slitherine Ltd.
73210,Paradox Interactive
73220,BattleGoat Studios
78000,"PopCap Games, Inc."
80000,BlueGiant Interactive
80200,Red Redemption
80300,Wadjet Eye Games
80310,Wadjet Eye Games
80330,Wadjet Eye Games
80340,Wadjet Eye Games
80350,Wadjet Eye Games
80360,Wadjet Eye Games
90200,Giants Software
90400,Relentless Software
91100,HandyGames
91200,11 bit studios
91330,Deep Silver
91600,Coffee Stain Publishing
91700,Streum On Studio
91800,NinjaBee
91810,NinjaBee.com
91900,Next Dimension Game Adventures Ltd.
92000,Dark Energy Digital Ltd.
92100,Geoff 'Zag' Keene
92200,Rockin' Android
92210,Rockin' Android
92220,Rockin' Android
92300,Extend Studio
92300,ORiGO GAMES
92400,Copenhagen Game Productions
92600,"WXP Games, LLC"
92700,Viva Media
92800,Zachtronics
92900,Libredia
93200,Puppygames
94000,Stout Games
94200,Final Form Games
94300,The Sleeping Machine
94400,Messhof
94590,Telltale Games
94620,Telltale Games
95000,SpikySnail
95300,Alientrap
95400,Sparpweed
95700,Peter Brinson and Kurosh ValaNejad
95900,Games Farm
96000,Colibri Games
96100,Fish Factory Games
96200,Kot in Action Creative Artel
96800,IllFonic
96800,Psyop Games
96900,Fire Hose Games
97000,Murudai
97100,Atari
97110,TimeGate Studios
97120,TimeGate Studios
97130,TimeGate Studios
97330,Wizards of the Coast LLC
98100,Krystian Majewski
98200,Mode 7
98300,Microsoft Studios
98400,Good Shepherd Entertainment
98500,Immanitas Entertainment GmbH
98600,Zeroscale
98800,"Gaslamp Games, Inc."
98900,Sigma Team Inc.
99100,Atari
99120,Atari
99300,SEGA
99400,Digital Dragon
99410,Digital Dragon
99700,"Nicalis, Inc."
99900,"Grey Havens, LLC"
99910,"Grey Havens, LLC"
100980,Pilgway
102200,Mystic Box
102400,Michael Brough
102500,38 Studios
102500,Electronic Arts
102600,Robot Entertainment
102810,Vanguard Games
102840,Klei Entertainment
102850,Electronic Arts
104000,Cobra Mobile
104020,Cobra Mobile
104100,Jason Rohrer
104200,Big Fat Alien
104900,DANKIE
105000,Daedalic Entertainment
105100,State of Play Games
105300,Manic Game Studios
105420,Microsoft Studios
105450,Microsoft Studios
105600,Re-Logic
105700,Secret Base
105800,Q-Games Ltd.
107100,Supergiant Games
107200,MinMax Games Ltd.
107300,Zeboyd Games
107310,Zeboyd Games
107410,Bohemia Interactive
107600,Squid In A Box Ltd
108110,Iceberg Interactive
108200,Days of Wonder
108200,Asmodee Digital
108210,Days of Wonder
108210,Asmodee Digital
108500,IndiePub
108600,The Indie Stone
108700,Remedy Entertainment
108710,Remedy Entertainment
108800,Electronic Arts
109200,Endlessfluff Games
109500,Pixelante Game Studios
109600,Perfect World Entertainment
109700,Hazardous Software Inc.
110400,White Rabbit Interactive
110500,Digital Eel
110600,Pom Pom Games
110610,Pom Pom Games
110630,PomPom Games
110800,Rockstar Games
111000,Total Eclipse
111010,Total Eclipse P.C.
111100,Owlchemy Labs
111400,NGD Studios
111600,Devolver Digital
111600,Croteam
